time;code;value
1488897765.268692;2;1;9
1488897765.268692;0;0;0
1488897765.276705;2;0;-4
1488897765.276705;2;1;8
1488897765.276705;0;0;0
1488897765.284705;2;0;14
1488897765.284705;2;1;4
1488897765.284705;0;0;0
1488897765.292706;2;0;5
1488897765.292706;2;1;-1
1488897765.292706;0;0;0
1488897765.308706;2;0;-1
1488897765.308706;2;1;1
1488897765.308706;0;0;0
1488897765.316706;2;1;2
1488897765.316706;0;0;0
1488897765.324707;2;0;1
1488897765.324707;2;1;-4
1488897765.324707;0;0;0
1488897765.332710;2;1;3
1488897765.332710;0;0;0
1488897765.340708;2;0;3
1488897765.340708;2;1;2
1488897765.340708;0;0;0
1488897765.348705;2;0;1
1488897765.348705;2;1;-5
1488897765.348705;0;0;0
1488897765.356710;2;0;-2
1488897765.356710;2;1;-5
1488897765.356710;0;0;0
1488897765.364711;2;0;4
1488897765.364711;2;1;-3
1488897765.364711;0;0;0
1488897765.372709;2;0;2
1488897765.372709;2;1;-9
1488897765.372709;0;0;0
1488897765.380711;2;0;-2
1488897765.380711;2;1;4
1488897765.380711;0;0;0
1488897765.388707;2;0;4
1488897765.388707;2;1;7
1488897765.388707;0;0;0
1488897765.396709;2;0;1
1488897765.396709;0;0;0
1488897765.404714;2;1;-1
1488897765.404714;0;0;0
1488897765.412713;2;0;2
1488897765.412713;2;1;1
1488897765.412713;0;0;0
1488897765.420709;2;0;-1
1488897765.420709;2;1;8
1488897765.420709;0;0;0
1488897765.428712;2;1;4
1488897765.428712;0;0;0
1488897765.436710;2;0;7
1488897765.436710;2;1;2
1488897765.436710;0;0;0
1488897765.444713;2;0;2
1488897765.444713;2;1;-1
1488897765.444713;0;0;0
1488897765.452710;2;0;12
1488897765.452710;2;1;7
1488897765.452710;0;0;0
1488897765.460701;2;0;3
1488897765.460701;2;1;-1
1488897765.460701;0;0;0
1488897765.468712;2;0;6
1488897765.468712;2;1;1
1488897765.468712;0;0;0
1488897765.476712;2;0;-2
1488897765.476712;2;1;-2
1488897765.476712;0;0;0
1488897765.484710;2;0;-1
1488897765.484710;0;0;0
1488897765.492712;2;0;-2
1488897765.492712;2;1;-6
1488897765.492712;0;0;0
1488897765.500712;2;0;2
1488897765.500712;2;1;-3
1488897765.500712;0;0;0
1488897765.508708;2;0;8
1488897765.508708;2;1;1
1488897765.508708;0;0;0
1488897765.516712;2;0;12
1488897765.516712;2;1;9
1488897765.516712;0;0;0
1488897765.524714;2;0;2
1488897765.524714;2;1;7
1488897765.524714;0;0;0
1488897765.532715;2;1;1
1488897765.532715;0;0;0
1488897765.540714;2;0;1
1488897765.540714;2;1;-1
1488897765.540714;0;0;0
1488897765.548715;2;0;14
1488897765.548715;2;1;6
1488897765.548715;0;0;0
1488897765.556711;2;1;6
1488897765.556711;0;0;0
1488897765.564710;2;0;11
1488897765.564710;2;1;6
1488897765.564710;0;0;0
1488897765.572711;2;1;3
1488897765.572711;0;0;0
1488897765.580714;2;0;2
1488897765.580714;2;1;4
1488897765.580714;0;0;0
1488897765.588712;2;0;1
1488897765.588712;2;1;-1
1488897765.588712;0;0;0
1488897765.596711;2;1;-1
1488897765.596711;0;0;0
1488897765.604717;2;0;2
1488897765.604717;2;1;4
1488897765.604717;0;0;0
1488897765.612712;2;0;7
1488897765.612712;2;1;3
1488897765.612712;0;0;0
1488897765.620712;2;1;-8
1488897765.620712;0;0;0
1488897765.628711;2;0;7
1488897765.628711;2;1;1
1488897765.628711;0;0;0
1488897765.636718;2;0;2
1488897765.636718;2;1;-3
1488897765.636718;0;0;0
1488897765.644714;2;0;-1
1488897765.644714;2;1;1
1488897765.644714;0;0;0
1488897765.652713;2;0;-5
1488897765.652713;2;1;-1
1488897765.652713;0;0;0
1488897765.660713;2;0;1
1488897765.660713;2;1;2
1488897765.660713;0;0;0
1488897765.668713;2;0;5
1488897765.668713;2;1;-3
1488897765.668713;0;0;0
1488897765.676714;2;0;4
1488897765.676714;2;1;2
1488897765.676714;0;0;0
1488897765.684719;2;0;7
1488897765.684719;2;1;2
1488897765.684719;0;0;0
1488897765.692717;2;0;7
1488897765.692717;2;1;4
1488897765.692717;0;0;0
1488897765.700714;2;0;4
1488897765.700714;2;1;1
1488897765.700714;0;0;0
1488897765.708714;2;0;3
1488897765.708714;2;1;3
1488897765.708714;0;0;0
1488897765.716713;2;0;13
1488897765.716713;2;1;3
1488897765.716713;0;0;0
1488897765.724717;2;0;5
1488897765.724717;2;1;-1
1488897765.724717;0;0;0
1488897765.732720;2;0;3
1488897765.732720;0;0;0
1488897765.740713;2;0;2
1488897765.740713;0;0;0
1488897765.748713;2;0;-1
1488897765.748713;2;1;-2
1488897765.748713;0;0;0
1488897765.756713;2;0;3
1488897765.756713;0;0;0
1488897765.764716;2;0;-10
1488897765.764716;2;1;-2
1488897765.764716;0;0;0
1488897765.772718;2;1;5
1488897765.772718;0;0;0
1488897765.780716;2;0;7
1488897765.780716;2;1;4
1488897765.780716;0;0;0
1488897765.788716;2;0;6
1488897765.788716;2;1;3
1488897765.788716;0;0;0
1488897765.796716;2;0;4
1488897765.796716;2;1;-2
1488897765.796716;0;0;0
1488897765.804715;2;0;2
1488897765.804715;2;1;-4
1488897765.804715;0;0;0
1488897765.812716;2;0;3
1488897765.812716;2;1;5
1488897765.812716;0;0;0
1488897765.820717;2;0;-3
1488897765.820717;2;1;1
1488897765.820717;0;0;0
1488897765.828707;2;0;8
1488897765.828707;2;1;3
1488897765.828707;0;0;0
1488897765.836709;2;0;6
1488897765.836709;2;1;3
1488897765.836709;0;0;0
1488897765.852725;2;1;-2
1488897765.852725;0;0;0
1488897765.860717;2;0;6
1488897765.860717;2;1;-3
1488897765.860717;0;0;0
1488897765.868716;2;0;5
1488897765.868716;2;1;7
1488897765.868716;0;0;0
1488897765.876717;2;0;3
1488897765.876717;2;1;-3
1488897765.876717;0;0;0
1488897765.884721;2;0;-3
1488897765.884721;2;1;-3
1488897765.884721;0;0;0
1488897765.892722;2;0;2
1488897765.892722;2;1;-3
1488897765.892722;0;0;0
1488897765.900708;2;0;1
1488897765.900708;2;1;4
1488897765.900708;0;0;0
1488897765.908720;2;0;5
1488897765.908720;2;1;2
1488897765.908720;0;0;0
1488897765.916720;2;0;3
1488897765.916720;2;1;3
1488897765.916720;0;0;0
1488897765.924719;2;0;-2
1488897765.924719;2;1;-3
1488897765.924719;0;0;0
1488897765.932717;2;0;3
1488897765.932717;2;1;-4
1488897765.932717;0;0;0
1488897765.940722;2;0;4
1488897765.940722;2;1;5
1488897765.940722;0;0;0
1488897765.948719;2;0;3
1488897765.948719;2;1;3
1488897765.948719;0;0;0
1488897765.956719;2;0;12
1488897765.956719;2;1;1
1488897765.956719;0;0;0
1488897765.964727;2;0;1
1488897765.964727;0;0;0
1488897765.972723;2;0;5
1488897765.972723;2;1;10
1488897765.972723;0;0;0
1488897765.980711;2;0;3
1488897765.980711;0;0;0
1488897765.988721;2;0;3
1488897765.988721;2;1;3
1488897765.988721;0;0;0
1488897765.996714;2;0;2
1488897765.996714;0;0;0
1488897766.004726;2;0;3
1488897766.004726;2;1;2
1488897766.004726;0;0;0
1488897766.012724;2;0;2
1488897766.012724;2;1;2
1488897766.012724;0;0;0
1488897766.020721;2;1;3
1488897766.020721;0;0;0
1488897766.028721;2;0;10
1488897766.028721;2;1;3
1488897766.028721;0;0;0
1488897766.036720;2;0;8
1488897766.036720;2;1;1
1488897766.036720;0;0;0
1488897766.044725;2;0;16
1488897766.044725;2;1;8
1488897766.044725;0;0;0
1488897766.052712;2;0;5
1488897766.052712;2;1;2
1488897766.052712;0;0;0
1488897766.060727;2;0;6
1488897766.060727;2;1;-3
1488897766.060727;0;0;0
1488897766.068724;2;0;3
1488897766.068724;2;1;3
1488897766.068724;0;0;0
1488897766.076725;2;1;2
1488897766.076725;0;0;0
1488897766.084721;2;0;-2
1488897766.084721;2;1;-1
1488897766.084721;0;0;0
1488897766.092724;2;0;4
1488897766.092724;0;0;0
1488897766.100721;2;0;7
1488897766.100721;2;1;3
1488897766.100721;0;0;0
1488897766.108723;2;0;13
1488897766.108723;2;1;8
1488897766.108723;0;0;0
1488897766.116723;2;0;10
1488897766.116723;2;1;3
1488897766.116723;0;0;0
1488897766.124726;2;0;-2
1488897766.124726;2;1;-1
1488897766.124726;0;0;0
1488897766.132709;2;0;1
1488897766.132709;2;1;-4
1488897766.132709;0;0;0
1488897766.140726;2;0;-4
1488897766.140726;2;1;-8
1488897766.140726;0;0;0
1488897766.148730;2;0;5
1488897766.148730;2;1;7
1488897766.148730;0;0;0
1488897766.156727;2;0;10
1488897766.156727;2;1;6
1488897766.156727;0;0;0
1488897766.164714;2;1;-3
1488897766.164714;0;0;0
1488897766.172725;2;0;3
1488897766.172725;2;1;-2
1488897766.172725;0;0;0
1488897766.188726;2;0;2
1488897766.188726;2;1;-3
1488897766.188726;0;0;0
1488897766.196725;2;0;2
1488897766.196725;2;1;5
1488897766.196725;0;0;0
1488897766.204717;2;0;4
1488897766.204717;2;1;-4
1488897766.204717;0;0;0
1488897766.212729;2;0;4
1488897766.212729;2;1;-1
1488897766.212729;0;0;0
1488897766.220723;2;0;-2
1488897766.220723;2;1;-2
1488897766.220723;0;0;0
1488897766.228724;2;0;-1
1488897766.228724;2;1;2
1488897766.228724;0;0;0
1488897766.236727;2;0;4
1488897766.236727;2;1;-4
1488897766.236727;0;0;0
1488897766.244720;2;0;1
1488897766.244720;2;1;-3
1488897766.244720;0;0;0
1488897766.252729;2;0;2
1488897766.252729;2;1;4
1488897766.252729;0;0;0
1488897766.260728;2;0;3
1488897766.260728;2;1;-2
1488897766.260728;0;0;0
1488897766.268726;2;0;9
1488897766.268726;2;1;3
1488897766.268726;0;0;0
1488897766.276726;2;0;6
1488897766.276726;2;1;5
1488897766.276726;0;0;0
1488897766.284727;2;0;-4
1488897766.284727;2;1;4
1488897766.284727;0;0;0
1488897766.292725;2;0;5
1488897766.292725;2;1;6
1488897766.292725;0;0;0
1488897766.300731;2;0;7
1488897766.300731;2;1;6
1488897766.300731;0;0;0
1488897766.308726;2;0;-6
1488897766.308726;0;0;0
1488897766.316727;2;0;-2
1488897766.316727;2;1;-3
1488897766.316727;0;0;0
1488897766.324728;2;0;6
1488897766.324728;2;1;2
1488897766.324728;0;0;0
1488897766.332723;2;1;4
1488897766.332723;0;0;0
1488897766.340721;2;0;-2
1488897766.340721;2;1;-4
1488897766.340721;0;0;0
1488897766.348727;2;0;3
1488897766.348727;2;1;-3
1488897766.348727;0;0;0
1488897766.356728;2;0;-4
1488897766.356728;2;1;-3
1488897766.356728;0;0;0
1488897766.364731;2;0;6
1488897766.364731;2;1;-3
1488897766.364731;0;0;0
1488897766.372731;2;0;8
1488897766.372731;2;1;2
1488897766.372731;0;0;0
1488897766.380730;2;0;-3
1488897766.380730;2;1;-5
1488897766.380730;0;0;0
1488897766.388727;2;0;3
1488897766.388727;2;1;4
1488897766.388727;0;0;0
1488897766.396729;2;0;3
1488897766.396729;2;1;7
1488897766.396729;0;0;0
1488897766.404764;2;0;7
1488897766.404764;2;1;2
1488897766.404764;0;0;0
1488897766.412773;2;0;9
1488897766.412773;2;1;2
1488897766.412773;0;0;0
1488897766.420748;2;0;5
1488897766.420748;0;0;0
1488897766.428735;2;0;4
1488897766.428735;2;1;-2
1488897766.428735;0;0;0
1488897766.436733;2;0;-1
1488897766.436733;2;1;-3
1488897766.436733;0;0;0
1488897766.444732;2;0;2
1488897766.444732;2;1;4
1488897766.444732;0;0;0
1488897766.452725;2;0;-5
1488897766.452725;2;1;5
1488897766.452725;0;0;0
1488897766.460731;2;0;2
1488897766.460731;2;1;7
1488897766.460731;0;0;0
1488897766.468729;2;0;3
1488897766.468729;2;1;-2
1488897766.468729;0;0;0
1488897766.476729;2;0;-2
1488897766.476729;2;1;-8
1488897766.476729;0;0;0
1488897766.484733;2;0;3
1488897766.484733;0;0;0
1488897766.492720;2;0;-7
1488897766.492720;2;1;-2
1488897766.492720;0;0;0
1488897766.500720;2;0;6
1488897766.500720;2;1;-2
1488897766.500720;0;0;0
1488897766.508734;2;1;-1
1488897766.508734;0;0;0
1488897766.516730;2;0;6
1488897766.516730;2;1;4
1488897766.516730;0;0;0
1488897766.524737;2;0;4
1488897766.524737;2;1;-6
1488897766.524737;0;0;0
1488897766.532737;2;0;3
1488897766.532737;2;1;3
1488897766.532737;0;0;0
1488897766.540735;2;0;6
1488897766.540735;2;1;-6
1488897766.540735;0;0;0
1488897766.556735;2;1;5
1488897766.556735;0;0;0
1488897766.564735;2;0;7
1488897766.564735;2;1;2
1488897766.564735;0;0;0
1488897766.572737;2;0;10
1488897766.572737;2;1;3
1488897766.572737;0;0;0
1488897766.580736;2;0;4
1488897766.580736;2;1;-2
1488897766.580736;0;0;0
1488897766.588734;2;0;3
1488897766.588734;2;1;3
1488897766.588734;0;0;0
1488897766.596733;2;1;5
1488897766.596733;0;0;0
1488897766.604736;2;1;-5
1488897766.604736;0;0;0
1488897766.612733;2;0;-4
1488897766.612733;2;1;-4
1488897766.612733;0;0;0
1488897766.620735;2;0;1
1488897766.620735;2;1;3
1488897766.620735;0;0;0
1488897766.628733;2;0;3
1488897766.628733;2;1;1
1488897766.628733;0;0;0
1488897766.636733;2;0;9
1488897766.636733;2;1;6
1488897766.636733;0;0;0
1488897766.644738;2;0;-3
1488897766.644738;2;1;3
1488897766.644738;0;0;0
1488897766.652737;2;0;4
1488897766.652737;2;1;3
1488897766.652737;0;0;0
1488897766.660736;2;0;13
1488897766.660736;2;1;7
1488897766.660736;0;0;0
1488897766.668735;2;0;4
1488897766.668735;2;1;4
1488897766.668735;0;0;0
1488897766.676731;2;0;3
1488897766.676731;2;1;8
1488897766.676731;0;0;0
1488897766.684738;2;0;7
1488897766.684738;2;1;5
1488897766.684738;0;0;0
1488897766.692736;2;0;4
1488897766.692736;2;1;4
1488897766.692736;0;0;0
1488897766.700735;2;0;4
1488897766.700735;2;1;2
1488897766.700735;0;0;0
1488897766.708735;2;0;2
1488897766.708735;2;1;3
1488897766.708735;0;0;0
1488897766.716725;2;0;3
1488897766.716725;2;1;3
1488897766.716725;0;0;0
1488897766.724735;2;0;8
1488897766.724735;2;1;-1
1488897766.724735;0;0;0
1488897766.732739;2;0;10
1488897766.732739;2;1;4
1488897766.732739;0;0;0
1488897766.740736;2;0;11
1488897766.740736;2;1;1
1488897766.740736;0;0;0
1488897766.748723;2;1;2
1488897766.748723;0;0;0
1488897766.756731;2;1;1
1488897766.756731;0;0;0
1488897766.764743;2;0;5
1488897766.764743;2;1;1
1488897766.764743;0;0;0
1488897766.772739;2;0;3
1488897766.772739;2;1;1
1488897766.772739;0;0;0
1488897766.780737;2;0;2
1488897766.780737;2;1;3
1488897766.780737;0;0;0
1488897766.788733;2;0;-1
1488897766.788733;2;1;1
1488897766.788733;0;0;0
1488897766.796737;2;0;-2
1488897766.796737;2;1;-2
1488897766.796737;0;0;0
1488897766.804737;2;0;-1
1488897766.804737;2;1;1
1488897766.804737;0;0;0
1488897766.812739;2;0;5
1488897766.812739;2;1;-1
1488897766.812739;0;0;0
1488897766.820736;2;0;7
1488897766.820736;2;1;6
1488897766.820736;0;0;0
1488897766.828737;2;0;4
1488897766.828737;2;1;2
1488897766.828737;0;0;0
1488897766.836734;2;0;8
1488897766.836734;2;1;-1
1488897766.836734;0;0;0
1488897766.844743;2;1;-2
1488897766.844743;0;0;0
1488897766.852740;2;1;-1
1488897766.852740;0;0;0
1488897766.860727;2;0;-1
1488897766.860727;2;1;1
1488897766.860727;0;0;0
1488897766.868740;2;0;10
1488897766.868740;2;1;5
1488897766.868740;0;0;0
1488897766.876739;2;0;-2
1488897766.876739;2;1;-5
1488897766.876739;0;0;0
1488897766.884736;2;0;3
1488897766.884736;2;1;2
1488897766.884736;0;0;0
1488897766.892734;2;0;2
1488897766.892734;2;1;4
1488897766.892734;0;0;0
1488897766.900741;2;0;-2
1488897766.900741;2;1;1
1488897766.900741;0;0;0
1488897766.908738;2;0;-2
1488897766.908738;2;1;-5
1488897766.908738;0;0;0
1488897766.916738;2;0;3
1488897766.916738;2;1;-10
1488897766.916738;0;0;0
1488897766.924739;2;0;7
1488897766.924739;0;0;0
1488897766.932747;2;0;-3
1488897766.932747;2;1;-4
1488897766.932747;0;0;0
1488897766.940745;2;0;-1
1488897766.940745;2;1;1
1488897766.940745;0;0;0
1488897766.948743;2;0;12
1488897766.948743;2;1;2
1488897766.948743;0;0;0
1488897766.956742;2;0;9
1488897766.956742;2;1;1
1488897766.956742;0;0;0
1488897766.964742;2;0;-3
1488897766.964742;2;1;-4
1488897766.964742;0;0;0
1488897766.972742;2;0;-2
1488897766.972742;2;1;-8
1488897766.972742;0;0;0
1488897766.980741;2;0;-6
1488897766.980741;2;1;4
1488897766.980741;0;0;0
1488897766.988741;2;0;-1
1488897766.988741;2;1;1
1488897766.988741;0;0;0
1488897766.996739;2;0;-4
1488897766.996739;2;1;-4
1488897766.996739;0;0;0
1488897767.004750;2;0;-10
1488897767.004750;2;1;-4
1488897767.004750;0;0;0
1488897767.012742;2;0;10
1488897767.012742;2;1;4
1488897767.012742;0;0;0
1488897767.020733;2;0;-1
1488897767.020733;2;1;5
1488897767.020733;0;0;0
1488897767.028746;2;0;-3
1488897767.028746;2;1;1
1488897767.028746;0;0;0
1488897767.036737;2;0;5
1488897767.036737;2;1;1
1488897767.036737;0;0;0
1488897767.044742;2;0;2
1488897767.044742;2;1;-1
1488897767.044742;0;0;0
1488897767.052733;2;0;1
1488897767.052733;2;1;2
1488897767.052733;0;0;0
1488897767.060731;2;0;6
1488897767.060731;2;1;2
1488897767.060731;0;0;0
1488897767.068743;2;0;3
1488897767.068743;2;1;-3
1488897767.068743;0;0;0
1488897767.076743;2;0;4
1488897767.076743;2;1;5
1488897767.076743;0;0;0
1488897767.084747;2;0;4
1488897767.084747;2;1;1
1488897767.084747;0;0;0
1488897767.092738;2;0;-1
1488897767.092738;2;1;1
1488897767.092738;0;0;0
1488897767.100743;2;0;6
1488897767.100743;2;1;3
1488897767.100743;0;0;0
1488897767.108745;2;0;6
1488897767.108745;2;1;3
1488897767.108745;0;0;0
1488897767.116745;2;0;3
1488897767.116745;2;1;1
1488897767.116745;0;0;0
1488897767.124734;2;1;3
1488897767.124734;0;0;0
1488897767.132742;2;0;2
1488897767.132742;2;1;-6
1488897767.132742;0;0;0
1488897767.140745;2;0;-3
1488897767.140745;2;1;-1
1488897767.140745;0;0;0
1488897767.148746;2;1;-4
1488897767.148746;0;0;0
1488897767.156742;2;0;1
1488897767.156742;2;1;-5
1488897767.156742;0;0;0
1488897767.164749;2;0;-3
1488897767.164749;0;0;0
1488897767.172750;2;0;1
1488897767.172750;0;0;0
1488897767.180746;2;0;3
1488897767.180746;0;0;0
1488897767.188745;2;0;2
1488897767.188745;2;1;8
1488897767.188745;0;0;0
1488897767.196746;2;0;1
1488897767.196746;0;0;0
1488897767.204747;2;0;1
1488897767.204747;2;1;-3
1488897767.204747;0;0;0
1488897767.212747;2;0;10
1488897767.212747;2;1;-2
1488897767.212747;0;0;0
1488897767.220747;2;0;10
1488897767.220747;2;1;-1
1488897767.220747;0;0;0
1488897767.228744;2;1;-4
1488897767.228744;0;0;0
1488897767.236744;2;0;-3
1488897767.236744;2;1;-3
1488897767.236744;0;0;0
1488897767.244750;2;0;4
1488897767.244750;2;1;3
1488897767.244750;0;0;0
1488897767.252748;2;0;6
1488897767.252748;2;1;1
1488897767.252748;0;0;0
1488897767.260747;2;0;7
1488897767.260747;2;1;9
1488897767.260747;0;0;0
1488897767.268737;2;0;15
1488897767.268737;2;1;3
1488897767.268737;0;0;0
1488897767.276749;2;0;8
1488897767.276749;0;0;0
1488897767.284749;2;0;1
1488897767.284749;2;1;4
1488897767.284749;0;0;0
