Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
7.07410; 747.69906; 1600.98638; 208.28205; 747.69906; 1630.16998;   584
7.08115; 758.69464; 1578.91649; 207.77966; 758.69464; 1614.19825;   590
7.08748; 769.69021; 1685.40381; 193.23698; 769.69021; 1557.66916;   427
7.09454; 780.68579; 1608.01030; 201.67500; 780.68579; 1557.66916;   503
7.10123; 791.68136; 1578.46317; 203.46561; 791.68136; 1557.66916;   520
7.10832; 802.67693; 1571.46984; 207.49752; 802.67693; 1633.24882;   520
7.11576; 813.67251; 1466.27210; 222.00849; 813.67251; 1578.97053;   728
7.12282; 824.66808; 1613.91082; 199.96178; 824.66808; 1625.14627;   456
7.12951; 835.66366; 1642.60150; 196.66888; 835.66366; 1622.99252;   506
7.13620; 846.65923; 1621.52698; 197.77337; 846.65923; 1622.99252;   540
7.14290; 857.65481; 1650.24380; 194.29734; 857.65481; 1622.99252;   496
7.14958; 868.65038; 1604.25656; 199.86156; 868.65038; 1586.97410;   565
7.15664; 879.64596; 1587.80858; 200.97580; 879.64596; 1586.97410;   536
7.16333; 890.64153; 1615.33340; 196.81996; 890.64153; 1586.97410;   496
7.17111; 901.63710; 1430.03960; 220.15333; 901.63710; 1585.60931;   738
7.17780; 912.63268; 1603.08710; 194.05790; 912.63268; 1645.09688;   464
7.18485; 923.62825; 1624.16166; 193.18303; 923.62825; 1612.16419;   549
7.19155; 934.62383; 1617.47197; 193.14622; 934.62383; 1598.40509;   530
7.19824; 945.61940; 1612.49075; 191.29558; 945.61940; 1598.40509;   521
7.20530; 956.61498; 1564.76084; 197.97505; 956.61498; 1598.40509;   581
7.21236; 967.61055; 1531.63037; 199.46097; 967.61055; 1588.26365;   611
7.21941; 978.60613; 1559.65595; 193.77862; 978.60613; 1588.26365;   555
7.22718; 989.60170; 1441.47541; 211.75689; 989.60170; 1616.73946;   713
7.23424; 1000.59727; 1573.26863; 191.33444; 1000.59727; 1661.19395;   542
7.24129; 1011.59285; 1552.38945; 191.85334; 989.60170; 1666.43054;   652
7.24835; 1022.58842; 1553.92516; 189.60282; 1000.59727; 1693.84242;   650
7.25501; 1033.58400; 1614.85893; 179.63092; 1011.59285; 1755.36834;   600
7.26207; 1044.57957; 1570.79635; 183.95954; 1022.58842; 1652.34269;   737
7.26912; 1055.57515; 1546.71184; 186.39977; 1033.58400; 1672.44735;   654
7.27618; 1066.57072; 1623.92179; 178.47217; 1044.57957; 1611.49097;   568
7.28357; 1077.56630; 1469.40725; 196.27462; 1055.57515; 1679.29401;   727
7.29063; 1088.56187; 1563.42591; 185.05344; 1066.57072; 1651.73225;   633
7.29768; 1099.55744; 1539.78077; 187.50306; 1077.56630; 1718.12452;   664
7.30438; 1110.55302; 1611.54543; 180.91786; 1088.56187; 1749.11390;   631
7.31104; 1121.54859; 1659.95991; 177.25155; 1099.55745; 1629.13056;   621
7.31810; 1132.54417; 1618.90083; 182.71995; 1110.55302; 1636.95409;   568
7.32479; 1143.53974; 1579.37007; 191.41245; 1121.54859; 1700.48857;   616
7.33185; 1154.53532; 1609.42249; 187.95242; 1132.54417; 1578.49422;   630
7.33926; 1165.53089; 1466.07659; 207.85142; 1143.53974; 1631.85782;   700
7.34595; 1176.52647; 1648.26480; 185.11314; 1154.53532; 1633.43232;   478
7.35301; 1187.52204; 1546.49430; 194.86200; 1165.53089; 1685.36990;   665
7.36006; 1198.51762; 1597.03333; 189.30912; 1176.52647; 1621.52369;   624
7.36639; 1209.51319; 1699.73326; 180.29291; 1187.52204; 1573.08315;   439
7.37308; 1220.50876; 1663.47571; 186.41081; 1198.51762; 1573.08315;   469
7.38015; 1231.50434; 1544.32225; 202.83888; 1187.52204; 1651.89793;   612
7.38721; 1242.49991; 1536.76792; 204.47938; 1198.51762; 1645.25816;   667
7.39499; 1253.49549; 1440.90872; 214.28741; 1209.51319; 1607.16506;   781
7.40169; 1264.49106; 1649.00637; 184.44356; 1220.50876; 1732.31581;   448
7.40802; 1275.48664; 1654.46501; 184.49875; 1242.49991; 1637.85245;   628
7.41508; 1286.48221; 1621.28789; 190.26840; 1242.49991; 1705.59330;   578
7.42176; 1297.47779; 1654.46501; 188.74030; 1253.49549; 1712.48387;   594
7.42845; 1308.47336; 1612.96383; 197.04672; 1286.48221; 1676.00077;   665
7.43515; 1319.46893; 1613.43719; 196.99433; 1297.47779; 1676.22360;   616
7.44184; 1330.46451; 1646.04408; 191.91192; 1308.47336; 1698.27431;   575
7.44889; 1341.46008; 1542.80545; 208.40920; 1319.46893; 1629.67262;   740
7.45558; 1352.45566; 1709.24521; 191.41445; 1330.46451; 1700.47972;   426
7.46192; 1363.45123; 1688.25034; 196.80092; 1341.46008; 1677.04705;   574
7.46861; 1374.44681; 1656.95818; 201.97242; 1352.45566; 1655.43746;   585
7.47530; 1385.44238; 1675.13322; 192.28798; 1363.45123; 1696.61284;   530
7.48199; 1396.43796; 1626.56427; 180.77243; 1374.44681; 1749.81734;   640
7.48904; 1407.43353; 1569.89926; 160.84223; 1385.44238; 1855.06345;   753
7.49573; 1418.42910; 1619.85481; 124.44663; 1396.43796; 2108.95464;   779
7.50279; 1429.42468; 1567.88456; 96.19760; 1407.43353; 2398.70425;  1023
7.50876; 1440.42025; 1786.15569; 60.55070; 1418.42910; 3023.42524;   943
7.51473; 1451.41583; 1889.59863; 40.04712; 1429.42468; 2714.67595;   985
7.51998; 1462.41140; 2042.26866; 23.47596; 1440.42025; 3800.00000;   964
7.52522; 1473.40698; 2190.78989; 9.36328; 1451.41583; 3800.00000;   968
7.53011; 1484.40255; 2226.72630; -7.63965; 1462.41140; 1904.69369;  1013
7.53501; 1495.39813; 2253.19149; -27.42505; 1473.40698; 1904.69369;   216
7.53989; 1506.39370; 2201.31621; -47.45690; 1484.40255; 1904.69369;   298
7.54767; 1517.38927; 1451.56098; -93.45596; 1495.39813; 2146.70986;  1023
7.55472; 1528.38485; 1519.35532; -100.12727; 1506.39370; 2078.46285;  1013
7.56069; 1539.38042; 1856.41980; -86.27906; 1517.38927; 2532.83044;   693
7.56630; 1550.37600; 1933.79783; -88.54605; 1528.38485; 2062.58065;  1009
7.57191; 1561.37157; 1993.75783; -94.76585; 1539.38042; 2019.64130;   634
7.57824; 1572.36715; 1771.76514; -117.73402; 1550.37600; 2168.24240;   907
7.58421; 1583.36272; 1805.80957; -124.63116; 1561.37157; 2107.39277;   942
7.58982; 1594.35830; 1953.37972; -123.37727; 1572.36715; 1904.69369;   694
7.59559; 1605.35387; 1873.18134; -137.04668; 1583.36272; 2009.66912;   652
7.60120; 1616.34944; 1994.48113; -135.00292; 1594.35830; 1934.32985;   565
7.60717; 1627.34502; 1878.94300; -149.29313; 1605.35387; 1925.47953;   687
