Ghostcar active!
Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
LSM9D1 Z axis zero offset is: -749.000000
0.00091; 0.00000; 0.00000; -105.87500; 0.00000; 1000.00000;   450
0.04195; 10.99557; 757.42746; 0.77747; 10.99557; 1000.00000;   217
0.07972; 21.99115; 293.21532; 3.67648; 21.99115; 1000.00000;   506
0.10521; 32.98672; 428.86128; 4.35805; 32.98672; 1000.00000;   485
0.12419; 43.98230; 581.40728; 6.16435; 43.98230; 1000.00000;   458
0.14172; 54.97787; 620.72792; 9.38958; 54.97787; 1000.00000;   438
0.15853; 65.97345; 661.18908; 8.88778; 65.97345; 1000.00000;   404
0.17461; 76.96902; 679.53615; 10.99776; 76.96902; 1000.00000;   394
StraightCount: 	
YawRate: 8737.75
New round detected!
Lap length: 87.9646
0.18971; 0.00000; 735.14571; 11.88574; 0.00000; 1000.00000;   338
0.20400; 10.99557; 766.99041; 10.99297; 10.99557; 1000.00000;   313
0.21793; 21.99115; 778.94407; 13.54831; 21.99115; 1000.00000;   308
0.23257; 32.98672; 758.99596; 14.39435; 32.98672; 1000.00000;   337
0.24722; 43.98230; 744.85669; 11.10230; 43.98230; 1000.00000;   354
0.26222; 54.97787; 731.96475; 8.90104; 54.97787; 1000.00000;   372
0.27722; 65.97345; 739.89465; 6.84844; 65.97345; 1000.00000;   366
0.29150; 76.96902; 771.83592; 4.50743; 76.96902; 1000.00000;   334
0.30506; 87.96460; 804.71124; 6.53604; 87.96460; 1000.00000;   304
0.31859; 98.96017; 817.57562; 7.66932; 98.96017; 1000.00000;   297
0.33178; 109.95574; 827.17027; 7.91358; 109.95574; 1000.00000;   291
0.34569; 120.95132; 797.35855; 7.78696; 120.95132; 1000.00000;   330
0.35961; 131.94689; 781.99093; 6.75391; 131.94689; 1000.00000;   347
0.37388; 142.94247; 768.27658; 5.30847; 142.94247; 1000.00000;   364
0.38816; 153.93804; 773.73686; 8.11516; 153.93804; 1000.00000;   360
0.40208; 164.93362; 802.94833; 18.64644; 164.93362; 1000.00000;   331
0.41563; 175.92919; 810.94288; 28.56736; 175.92919; 1000.00000;   329
0.42883; 186.92477; 819.89221; 39.95754; 186.92477; 1000.00000;   322
0.44240; 197.92034; 812.92137; 51.95183; 197.92034; 1000.00000;   335
0.45595; 208.91591; 804.94689; 59.52132; 208.91591; 1000.00000;   346
0.46987; 219.91149; 791.84606; 69.15280; 219.91149; 1000.00000;   363
0.48451; 230.90706; 763.36951; 80.62724; 230.90706; 1000.00000;   398
0.49879; 241.90264; 772.16113; 88.81436; 241.90264; 1000.00000;   388
0.51235; 252.89821; 796.60758; 92.24539; 252.89821; 1000.00000;   365
0.52591; 263.89379; 822.22197; 97.03386; 263.89379; 1000.00000;   342
0.53874; 274.88936; 845.09834; 103.95344; 274.88936; 1000.00000;   321
0.55271; 285.88494; 800.84300; 115.51609; 285.88494; 1000.00000;   379
0.56627; 296.88051; 798.86475; 120.06835; 296.88051; 1000.00000;   378
0.58091; 307.87608; 758.05408; 128.95056; 307.87608; 1000.00000;   428
0.59554; 318.87166; 754.25809; 134.44287; 318.87166; 1000.00000;   431
0.60982; 329.86723; 754.72403; 137.06119; 329.86723; 1000.00000;   435
0.62374; 340.86281; 789.68504; 136.44475; 340.86281; 1000.00000;   398
0.63730; 351.85838; 825.55556; 136.26082; 351.85838; 1000.00000;   365
0.65022; 362.85396; 845.87849; 134.51799; 362.85396; 1000.00000;   349
0.66306; 373.84953; 845.03339; 138.09543; 373.84953; 1000.00000;   356
0.67626; 384.84511; 840.38325; 142.53497; 384.84511; 1000.00000;   363
0.68992; 395.84068; 817.81885; 150.43169; 395.84068; 1000.00000;   392
0.70348; 406.83625; 805.89083; 153.93943; 406.83625; 1000.00000;   405
0.71705; 417.83183; 806.24538; 153.80119; 417.83183; 1000.00000;   406
