Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
2.44560; 0.00000; 1018.39163; -0.99804; 0.00000; 1000.00000;   320
2.45699; 10.99557; 955.22322; 1.60156; 10.99557; 1000.00000;   417
2.46802; 21.99115; 982.62506; 0.59074; 21.99115; 1000.00000;   373
2.47905; 32.98672; 998.59908; -1.84586; 32.98672; 1000.00000;   359
2.49043; 43.98230; 969.11462; -2.77782; 43.98230; 1000.00000;   397
2.50187; 54.97787; 953.81458; -4.68005; 54.97787; 1000.00000;   411
2.51362; 65.97345; 952.57511; -3.03732; 65.97345; 1000.00000;   410
2.52610; 76.96902; 866.40725; 0.15492; 76.96902; 1000.00000;   512
2.53712; 87.96460; 988.27741; 0.39700; 87.96460; 1000.00000;   354
2.54852; 98.96017; 964.60869; 1.03718; 98.96017; 1000.00000;   405
2.55991; 109.95574; 985.97332; 1.83116; 109.95574; 1000.00000;   376
2.57058; 120.95132; 1016.03904; 2.01380; 120.95132; 1000.00000;   344
2.58161; 131.94689; 1006.09154; 11.48303; 131.94689; 1000.00000;   361
2.59270; 142.94247; 979.64847; 25.86499; 142.94247; 1000.00000;   391
2.60410; 153.93804; 981.22206; 41.73670; 153.93804; 1000.00000;   384
2.61622; 164.93362; 905.95489; 65.76677; 164.93362; 1000.00000;   474
2.62724; 175.92919; 995.07461; 72.04219; 175.92919; 1000.00000;   356
2.63828; 186.92477; 990.32464; 85.58794; 186.92477; 1000.00000;   378
2.64930; 197.92034; 998.50840; 96.36609; 197.92034; 1000.00000;   367
2.65997; 208.91591; 1049.59664; 103.61347; 208.91591; 1000.00000;   308
2.67102; 219.91149; 981.74772; 122.18691; 219.91149; 1000.00000;   398
2.68205; 230.90706; 981.04697; 131.52324; 230.90706; 1000.00000;   386
2.69308; 241.90264; 995.61522; 142.33333; 241.90264; 1000.00000;   369
2.70521; 252.89821; 923.92021; 168.17115; 252.89821; 1000.00000;   456
2.71587; 263.89379; 1023.22487; 164.32224; 263.89379; 1000.00000;   326
2.72726; 274.88936; 980.78445; 185.27884; 274.88936; 1000.00000;   395
2.73863; 285.88494; 967.40933; 194.42504; 285.88494; 1000.00000;   404
2.74965; 296.88051; 997.05971; 191.28478; 296.88051; 1000.00000;   366
2.76104; 307.87608; 966.98395; 198.13912; 307.87608; 1000.00000;   408
2.77281; 318.87166; 931.74938; 201.79565; 318.87166; 1000.00000;   444
2.78383; 329.86723; 970.48318; 193.43055; 329.86723; 1000.00000;   393
2.79631; 340.86281; 881.90363; 212.95819; 340.86281; 1000.00000;   505
2.80806; 351.85838; 959.39049; 192.56611; 351.85838; 1000.00000;   400
2.81945; 362.85396; 949.36751; 193.91250; 362.85396; 1000.00000;   426
2.83085; 373.84953; 959.13943; 189.87057; 373.84953; 1000.00000;   413
2.84188; 384.84511; 1008.95343; 180.58735; 384.84511; 1000.00000;   356
2.85327; 395.84068; 963.42543; 193.71229; 395.84068; 1000.00000;   419
2.86465; 406.83625; 962.58202; 192.02309; 406.83625; 1000.00000;   413
2.87645; 417.83183; 940.83806; 194.68930; 417.83183; 1000.00000;   439
2.88857; 428.82740; 911.73917; 200.31754; 428.82740; 1000.00000;   470
2.89923; 439.82298; 1031.67334; 176.31778; 439.82298; 1000.00000;   323
2.91064; 450.81855; 966.64391; 189.92177; 450.81855; 1000.00000;   422
2.92167; 461.81413; 992.91805; 185.48658; 461.81413; 1000.00000;   380
2.93161; 472.80970; 1075.57219; 172.09082; 472.80970; 1000.00000;   284
2.94300; 483.80528; 992.46994; 188.13149; 483.80528; 1000.00000;   399
2.95403; 494.80085; 999.96130; 187.10272; 494.80085; 1000.00000;   375
2.96469; 505.79642; 1008.58324; 191.37226; 505.79642; 1000.00000;   366
2.97646; 516.79200; 926.09909; 208.70996; 516.79200; 1000.00000;   465
2.98749; 527.78757; 1016.41472; 190.19904; 527.78757; 1000.00000;   345
2.99852; 538.78315; 997.60247; 198.93430; 538.78315; 1000.00000;   383
3.00919; 549.77872; 1020.75515; 196.63797; 549.77872; 1000.00000;   352
3.01914; 560.77430; 1093.97816; 188.68736; 560.77430; 1000.00000;   267
3.03017; 571.76987; 1025.99370; 205.47565; 571.76987; 1000.00000;   362
3.04084; 582.76545; 1010.25124; 210.15426; 582.76545; 1000.00000;   368
3.05187; 593.76102; 1017.82602; 207.99709; 593.76102; 1000.00000;   356
3.06326; 604.75659; 938.18895; 224.77133; 604.75659; 1000.00000;   452
3.07429; 615.75217; 1028.29650; 205.10911; 615.75217; 1000.00000;   331
3.08532; 626.74774; 994.71453; 212.91772; 626.74774; 1000.00000;   387
3.09599; 637.74332; 999.41597; 211.98178; 637.74332; 1000.00000;   375
3.10630; 648.73889; 1076.09850; 196.54263; 648.73889; 1000.00000;   284
3.11734; 659.73447; 1005.53950; 212.10925; 659.73447; 1000.00000;   382
3.12837; 670.73004; 1005.72345; 212.98832; 670.73004; 1000.00000;   369
3.13904; 681.72562; 1020.56566; 212.12854; 681.72562; 1000.00000;   351
3.15080; 692.72119; 921.98344; 233.64286; 692.72119; 1000.00000;   470
3.16146; 703.71676; 1034.48814; 206.68963; 703.71676; 1000.00000;   320
3.17249; 714.71234; 1005.99949; 211.08594; 714.71234; 1000.00000;   374
3.18315; 725.70791; 1028.10420; 204.81555; 725.70791; 1000.00000;   342
3.19310; 736.70349; 1093.43421; 194.13877; 736.70349; 1000.00000;   267
3.20412; 747.69906; 1001.14490; 212.42415; 747.69906; 1000.00000;   389
3.21516; 758.69464; 1023.89184; 207.78181; 758.69464; 1000.00000;   345
3.22582; 769.69021; 1027.91198; 208.48439; 769.69021; 1000.00000;   344
3.23754; 780.68579; 928.91564; 228.12201; 780.68579; 1000.00000;   462
3.24821; 791.68136; 1040.26248; 201.88760; 791.68136; 1000.00000;   312
3.25888; 802.67693; 1031.96382; 205.20266; 802.67693; 1000.00000;   343
3.26954; 813.67251; 1002.78837; 209.57174; 813.67251; 1000.00000;   376
3.28021; 824.66808; 1044.11494; 200.69017; 824.66808; 1000.00000;   320
3.29124; 835.66366; 991.57493; 210.12832; 835.66366; 1000.00000;   390
3.30263; 846.65923; 989.25546; 206.02600; 846.65923; 1000.00000;   384
3.31366; 857.65481; 982.44947; 203.18269; 857.65481; 1000.00000;   392
3.32574; 868.65038; 898.40464; 219.77483; 868.65038; 1000.00000;   490
3.33676; 879.64596; 1014.72632; 195.19349; 879.64596; 1000.00000;   338
3.34779; 890.64153; 1007.56661; 199.35081; 890.64153; 1000.00000;   368
3.35845; 901.63710; 1006.27569; 204.51947; 901.63710; 1000.00000;   368
3.36912; 912.63268; 1028.58507; 204.09454; 912.63268; 1000.00000;   341
3.38052; 923.62825; 986.76967; 212.96051; 923.62825; 1000.00000;   394
3.39191; 934.62383; 943.82613; 216.64263; 934.62383; 1000.00000;   438
3.40330; 945.61940; 978.42805; 204.52753; 945.61940; 1000.00000;   390
3.41574; 956.61498; 893.80381; 219.41809; 956.61498; 1000.00000;   496
3.42677; 967.61055; 993.00772; 194.46208; 967.61055; 1000.00000;   365
3.43816; 978.60613; 960.06063; 200.57507; 978.60613; 1000.00000;   423
3.44955; 989.60170; 961.40373; 199.31647; 989.60170; 1000.00000;   416
3.46058; 1000.59727; 999.50681; 192.91749; 1000.59727; 1000.00000;   371
3.47196; 1011.59285; 973.05969; 198.54753; 1011.59285; 1000.00000;   410
