Ghostcar active!
Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
LSM9D1 Z axis zero offset is: -3271.100000
0.00091; 0.00000; 0.00000; -100.97500; 0.00000; 1000.00000;   450
0.01269; 10.99557; 204.64117; -25.08085; 10.99557; 1000.00000;   421
0.04034; 21.99115; 398.93964; -44.76818; 21.99115; 1000.00000;   457
0.05932; 32.98672; 582.88669; -60.77644; 32.98672; 1000.00000;   428
0.07682; 43.98230; 622.90814; -88.29476; 43.98230; 1000.00000;   411
0.09652; 54.97787; 565.09274; -121.29783; 54.97787; 1000.00000;   489
0.11441; 65.97345; 608.26323; -120.32747; 65.97345; 1000.00000;   444
0.13158; 76.96902; 640.20812; -115.91567; 76.96902; 1000.00000;   420
0.14951; 87.96460; 610.15340; -116.22614; 87.96460; 1000.00000;   466
0.16714; 98.96017; 633.89683; -108.48398; 98.96017; 1000.00000;   444
0.18502; 109.95574; 612.73750; -103.21226; 109.95574; 1000.00000;   478
0.20111; 120.95132; 681.98068; -75.44407; 120.95132; 1000.00000;   404
0.21682; 131.94689; 697.64447; -55.19398; 131.94689; 1000.00000;   401
0.23186; 142.94247; 737.26528; -31.80863; 142.94247; 1000.00000;   363
0.24578; 153.93804; 777.07240; -7.76009; 153.93804; 1000.00000;   326
0.26007; 164.93362; 770.80788; 15.48194; 164.93362; 1000.00000;   343
0.27471; 175.92919; 760.04524; 37.81087; 175.92919; 1000.00000;   359
0.28899; 186.92477; 773.95470; 60.24558; 186.92477; 1000.00000;   345
0.30436; 197.92034; 710.99738; 82.26187; 197.92034; 1000.00000;   424
0.31827; 208.91591; 780.60304; 87.03828; 208.91591; 1000.00000;   339
0.33255; 219.91149; 772.37809; 99.72428; 219.91149; 1000.00000;   363
0.34649; 230.90706; 796.20380; 110.50465; 230.90706; 1000.00000;   338
0.36005; 241.90264; 809.98707; 124.46091; 241.90264; 1000.00000;   328
0.37429; 252.89821; 774.77272; 141.14039; 252.89821; 1000.00000;   374
0.38857; 263.89379; 756.69771; 157.56107; 263.89379; 1000.00000;   394
0.40321; 274.88936; 753.17312; 165.07141; 274.88936; 1000.00000;   400
0.41857; 285.88494; 712.37930; 180.30314; 285.88494; 1000.00000;   451
0.43212; 296.88051; 815.57443; 166.62471; 296.88051; 1000.00000;   330
0.44604; 307.87608; 801.30990; 178.70330; 307.87608; 1000.00000;   365
0.45924; 318.87166; 817.81885; 179.22578; 318.87166; 1000.00000;   347
0.47280; 329.86723; 830.54418; 179.60345; 329.86723; 1000.00000;   338
0.48600; 340.86281; 816.42222; 184.53209; 340.86281; 1000.00000;   359
0.49956; 351.85838; 808.79547; 185.29311; 351.85838; 1000.00000;   368
0.51347; 362.85396; 804.77014; 188.22592; 362.85396; 1000.00000;   375
0.52776; 373.84953; 757.89733; 203.68257; 373.84953; 1000.00000;   432
0.54095; 384.84511; 850.78725; 187.75901; 384.84511; 1000.00000;   321
0.55379; 395.84068; 840.44749; 197.87209; 395.84068; 1000.00000;   349
0.56662; 406.83625; 865.65694; 196.14277; 406.83625; 1000.00000;   321
0.57909; 417.83183; 880.56174; 195.96281; 417.83183; 1000.00000;   309
0.59162; 428.82740; 869.14666; 199.05498; 428.82740; 1000.00000;   327
0.60446; 439.82298; 854.82193; 199.81118; 439.82298; 1000.00000;   344
0.61729; 450.81855; 862.87173; 201.50139; 450.81855; 1000.00000;   334
0.63085; 461.81413; 808.91447; 218.60914; 461.81413; 1000.00000;   401
0.64332; 472.80970; 893.29551; 198.08658; 472.80970; 1000.00000;   296
0.65616; 483.80528; 855.22085; 209.18702; 483.80528; 1000.00000;   356
0.66885; 494.80085; 855.15434; 210.69206; 494.80085; 1000.00000;   352
0.68133; 505.79642; 886.52539; 203.79405; 505.79642; 1000.00000;   318
0.69453; 516.79200; 845.55325; 213.01198; 516.79200; 1000.00000;   372
0.70772; 527.78757; 832.11552; 216.41508; 527.78757; 1000.00000;   384
0.72056; 538.78315; 843.21890; 211.83242; 538.78315; 1000.00000;   372
0.73412; 549.77872; 806.65941; 221.75310; 549.77872; 1000.00000;   419
0.74659; 560.77430; 893.22294; 204.14679; 560.77430; 1000.00000;   314
0.75943; 571.76987; 864.97596; 212.82655; 571.76987; 1000.00000;   363
0.77189; 582.76545; 865.18014; 215.52214; 582.76545; 1000.00000;   360
0.78436; 593.76102; 892.64284; 207.46523; 593.76102; 1000.00000;   330
0.79682; 604.75659; 867.36408; 210.16748; 604.75659; 1000.00000;   366
0.81001; 615.75217; 853.82625; 209.09828; 615.75217; 1000.00000;   380
0.82249; 626.74774; 866.54381; 205.45900; 626.74774; 1000.00000;   365
0.83605; 637.74332; 811.72113; 220.53199; 637.74332; 1000.00000;   433
0.84817; 648.73889; 919.05504; 200.37005; 648.73889; 1000.00000;   301
0.86030; 659.73447; 896.42707; 211.38206; 659.73447; 1000.00000;   347
0.87278; 670.73004; 891.48488; 213.29986; 670.73004; 1000.00000;   350
0.88453; 681.72562; 932.77693; 202.90071; 681.72562; 1000.00000;   302
0.89664; 692.72119; 898.25786; 205.69592; 692.72119; 1000.00000;   351
0.90948; 703.71676; 867.09049; 207.24680; 703.71676; 1000.00000;   383
0.92160; 714.71234; 900.53845; 198.76217; 714.71234; 1000.00000;   341
0.93443; 725.70791; 857.82294; 211.70435; 725.70791; 1000.00000;   398
0.94582; 736.70349; 950.92748; 195.10804; 736.70349; 1000.00000;   282
0.95754; 747.69906; 939.95336; 205.82455; 747.69906; 1000.00000;   313
0.97002; 758.69464; 897.67119; 216.47456; 758.69464; 1000.00000;   361
0.98140; 769.69021; 947.48595; 201.10375; 769.69021; 1000.00000;   297
0.99388; 780.68579; 877.89018; 212.50648; 780.68579; 1000.00000;   388
1.00671; 791.68136; 875.30445; 206.65150; 791.68136; 1000.00000;   382
1.01918; 802.67693; 883.81757; 205.48270; 802.67693; 1000.00000;   373
1.03202; 813.67251; 835.72049; 222.00437; 813.67251; 1000.00000;   433
1.04378; 824.66808; 961.65598; 198.34520; 824.66808; 1000.00000;   278
1.05553; 835.66366; 910.83287; 214.65296; 835.66366; 1000.00000;   360
1.06764; 846.65923; 920.74815; 213.05891; 846.65923; 1000.00000;   341
1.07903; 857.65481; 950.02371; 206.03286; 857.65481; 1000.00000;   309
1.09116; 868.65038; 917.36813; 212.46566; 868.65038; 1000.00000;   354
1.10327; 879.64596; 905.65641; 211.36794; 879.64596; 1000.00000;   363
