Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
0.00091; 0.00000; 0.00000; 17.54375; 0.00000; 1000.00000;   450
0.02460; 10.99557; 132.87061; 8.82503; 10.99557; 1000.00000;   451
0.05838; 21.99115; 324.30540; 8.45887; 21.99115; 1000.00000;   469
0.07771; 32.98672; 566.11103; 7.85213; 32.98672; 1000.00000;   449
0.09489; 43.98230; 640.91714; 12.89488; 43.98230; 1000.00000;   398
0.11459; 54.97787; 565.00562; 14.11632; 54.97787; 1000.00000;   501
0.13333; 65.97345; 577.37736; 17.66314; 65.97345; 1000.00000;   489
0.14942; 76.96902; 689.20487; 16.30165; 76.96902; 1000.00000;   371
0.16512; 87.96460; 707.56592; 13.48574; 87.96460; 1000.00000;   369
0.18048; 98.96017; 714.41586; 20.52750; 98.96017; 1000.00000;   369
0.19548; 109.95574; 724.82363; 28.96677; 109.95574; 1000.00000;   363
0.21121; 120.95132; 700.80143; 38.40628; 120.95132; 1000.00000;   397
0.22657; 131.94689; 710.76758; 51.88957; 131.94689; 1000.00000;   388
0.24122; 142.94247; 750.29508; 62.63142; 142.94247; 1000.00000;   349
0.25550; 153.93804; 777.95206; 71.78726; 153.93804; 1000.00000;   327
0.26906; 164.93362; 798.98085; 87.97323; 164.93362; 1000.00000;   310
0.28336; 175.92919; 784.83758; 103.97954; 175.92919; 1000.00000;   333
0.29764; 186.92477; 770.97002; 118.28871; 186.92477; 1000.00000;   351
0.31228; 197.92034; 744.85669; 132.51482; 197.92034; 1000.00000;   383
0.32728; 208.91591; 725.11042; 145.81338; 208.91591; 1000.00000;   407
0.34228; 219.91149; 748.71132; 153.92638; 219.91149; 1000.00000;   382
0.35622; 230.90706; 776.63331; 159.21388; 230.90706; 1000.00000;   357
0.37050; 241.90264; 771.51098; 171.67471; 241.90264; 1000.00000;   370
0.38440; 252.89821; 784.16591; 178.41671; 252.89821; 1000.00000;   359
0.39885; 263.89379; 780.49222; 182.80474; 263.89379; 1000.00000;   369
0.41277; 274.88936; 774.66355; 186.35451; 274.88936; 1000.00000;   379
0.42741; 285.88494; 758.21090; 191.21764; 285.88494; 1000.00000;   401
0.44172; 296.88051; 755.81348; 190.27866; 296.88051; 1000.00000;   405
0.45636; 307.87608; 764.11219; 189.71223; 307.87608; 1000.00000;   400
