Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
4.34603; 0.00000; 1004.25376; 0.43582; 0.00000; 1000.00000;   366
4.35707; 10.99557; 1006.92074; 1.47745; 10.99557; 1000.00000;   365
4.36773; 21.99115; 1005.17181; -1.14018; 21.99115; 1000.00000;   368
4.37912; 32.98672; 978.16693; -4.57534; 32.98672; 1000.00000;   400
4.39052; 43.98230; 956.22006; -4.41956; 43.98230; 1000.00000;   421
4.40268; 54.97787; 926.95789; -5.68710; 54.97787; 1000.00000;   452
4.41407; 65.97345; 954.14565; -2.76931; 65.97345; 1000.00000;   416
4.42546; 76.96902; 951.91537; 0.94696; 76.96902; 1000.00000;   424
4.43685; 87.96460; 981.13451; 0.94551; 87.96460; 1000.00000;   390
4.44756; 98.96017; 1015.00733; 1.52602; 98.96017; 1000.00000;   355
4.45859; 109.95574; 1006.18361; 2.43947; 109.95574; 1000.00000;   371
4.46962; 120.95132; 996.15641; 2.45963; 120.95132; 1000.00000;   382
4.48065; 131.94689; 978.25395; 10.56364; 131.94689; 1000.00000;   401
4.49240; 142.94247; 962.32929; 24.72275; 142.94247; 1000.00000;   417
4.50379; 153.93804; 961.82422; 39.79176; 153.93804; 1000.00000;   416
4.51482; 164.93362; 990.86009; 57.06424; 164.93362; 1000.00000;   381
4.52549; 175.92919; 1024.84616; 68.54643; 175.92919; 1000.00000;   346
4.53615; 186.92477; 1044.71016; 80.27124; 186.92477; 1000.00000;   328
4.54682; 197.92034; 1026.66428; 95.13107; 197.92034; 1000.00000;   353
4.55748; 208.91591; 1026.28098; 108.22407; 208.91591; 1000.00000;   350
4.56851; 219.91149; 980.34722; 122.40324; 219.91149; 1000.00000;   404
4.58026; 230.90706; 954.55981; 132.65819; 230.90706; 1000.00000;   427
4.59162; 241.90264; 963.67874; 145.41755; 241.90264; 1000.00000;   412
4.60233; 252.89821; 1011.45934; 150.88859; 252.89821; 1000.00000;   357
4.61336; 263.89379; 1004.52900; 167.55631; 263.89379; 1000.00000;   374
4.62439; 274.88936; 1005.35562; 181.79219; 274.88936; 1000.00000;   371
4.63542; 285.88494; 1008.39824; 186.05080; 285.88494; 1000.00000;   368
4.64645; 296.88051; 981.22206; 194.69935; 296.88051; 1000.00000;   401
4.65784; 307.87608; 967.15405; 198.80706; 307.87608; 1000.00000;   413
4.66924; 318.87166; 963.17225; 202.67226; 318.87166; 1000.00000;   416
4.68063; 329.86723; 951.09199; 208.51708; 329.86723; 1000.00000;   430
4.69202; 340.86281; 970.99739; 207.61274; 340.86281; 1000.00000;   405
4.70340; 351.85838; 987.83348; 202.45776; 351.85838; 1000.00000;   388
4.71443; 362.85396; 990.23545; 199.92106; 362.85396; 1000.00000;   389
4.72546; 373.84953; 1000.78042; 195.15225; 373.84953; 1000.00000;   377
4.73647; 384.84511; 990.05713; 192.99725; 384.84511; 1000.00000;   391
4.74787; 395.84068; 970.56885; 195.38495; 395.84068; 1000.00000;   413
4.75974; 406.83625; 928.44503; 202.39774; 406.83625; 1000.00000;   460
4.77116; 417.83183; 939.39124; 198.97279; 417.83183; 1000.00000;   440
4.78220; 428.82740; 1021.41890; 186.64311; 428.82740; 1000.00000;   345
4.79249; 439.82298; 1042.53100; 188.67561; 439.82298; 1000.00000;   334
4.80352; 450.81855; 1000.68934; 197.46093; 450.81855; 1000.00000;   388
4.81419; 461.81413; 1032.93325; 194.11363; 461.81413; 1000.00000;   342
4.82449; 472.80970; 1057.26677; 191.68192; 472.80970; 1000.00000;   318
