Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
5.07031; 0.00000; 1004.07035; -1.01001; 0.00000; 1000.00000;   385
5.08134; 10.99557; 1006.64419; -1.49854; 10.99557; 1000.00000;   375
5.09165; 21.99115; 1034.19624; -0.66755; 21.99115; 1000.00000;   343
5.10196; 32.98672; 1067.53150; 0.26721; 32.98672; 1000.00000;   307
5.11226; 43.98230; 1082.02858; 0.65583; 43.98230; 1000.00000;   295
5.12257; 54.97787; 1082.98773; 1.27737; 54.97787; 1000.00000;   296
5.13287; 65.97345; 1062.06650; 0.07909; 65.97345; 1000.00000;   320
5.14316; 76.96902; 1045.70370; -1.32124; 76.96902; 1000.00000;   335
5.15420; 87.96460; 1012.48384; -2.20287; 87.96460; 1000.00000;   371
5.16486; 98.96017; 1013.51041; -1.55746; 98.96017; 1000.00000;   364
5.17553; 109.95574; 1040.75480; 0.05128; 109.95574; 1000.00000;   331
5.18583; 120.95132; 1068.56895; 1.56892; 120.95132; 1000.00000;   302
5.19613; 131.94689; 1081.28375; 2.03601; 131.94689; 1000.00000;   291
5.20605; 142.94247; 1084.37618; 2.36507; 142.94247; 1000.00000;   289
5.21637; 153.93804; 1063.71040; 3.70249; 153.93804; 1000.00000;   314
5.22703; 164.93362; 1053.72060; 11.06994; 164.93362; 1000.00000;   321
5.23806; 175.92919; 998.78049; 23.00643; 175.92919; 1000.00000;   384
5.24909; 186.92477; 987.56731; 36.65978; 186.92477; 1000.00000;   387
5.26016; 197.92034; 1005.72345; 50.47946; 197.92034; 1000.00000;   364
5.27047; 208.91591; 1037.22049; 58.28522; 208.91591; 1000.00000;   329
5.28113; 219.91149; 1053.92260; 65.41064; 219.91149; 1000.00000;   315
5.29180; 230.90706; 1037.12266; 71.74320; 230.90706; 1000.00000;   337
5.30208; 241.90264; 1036.53605; 80.25493; 241.90264; 1000.00000;   334
5.31311; 252.89821; 1003.79537; 91.26262; 252.89821; 1000.00000;   373
5.32451; 263.89379; 972.97358; 103.80767; 263.89379; 1000.00000;   404
5.33590; 274.88936; 953.48374; 115.67541; 274.88936; 1000.00000;   422
5.34729; 285.88494; 976.42966; 115.02262; 285.88494; 1000.00000;   392
5.35832; 296.88051; 992.46994; 120.78099; 296.88051; 1000.00000;   377
5.36934; 307.87608; 999.41597; 123.42609; 307.87608; 1000.00000;   371
5.38073; 318.87166; 973.14580; 132.96209; 318.87166; 1000.00000;   404
5.39176; 329.86723; 977.47128; 138.10278; 329.86723; 1000.00000;   395
5.40352; 340.86281; 939.79269; 144.78020; 340.86281; 1000.00000;   440
5.41563; 351.85838; 923.84259; 148.35956; 351.85838; 1000.00000;   454
5.42708; 362.85396; 938.26900; 145.29509; 362.85396; 1000.00000;   435
5.43856; 373.84953; 971.68385; 143.28825; 373.84953; 1000.00000;   398
5.44963; 384.84511; 996.42723; 141.58297; 384.84511; 1000.00000;   375
5.46064; 395.84068; 1011.83164; 144.78039; 395.84068; 1000.00000;   361
5.47130; 406.83625; 999.14352; 147.69612; 406.83625; 1000.00000;   379
5.48233; 417.83183; 1010.71555; 144.52904; 417.83183; 1000.00000;   363
5.49372; 428.82740; 969.37093; 150.02539; 428.82740; 1000.00000;   414
