Ghostcar active!
Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
LSM9D1 Z axis zero offset is: -6606.075000
1.48561; 791.68136; 673.78972; 156.96451; 791.68136; 750.00000;   358
1.50276; 802.67693; 633.09388; 164.68403; 802.67693; 750.00000;   406
1.51884; 813.67251; 695.65826; 152.19373; 813.67251; 750.00000;   332
1.53457; 824.66808; 685.25330; 156.98184; 824.66808; 750.00000;   353
1.55032; 835.66366; 707.83922; 154.09283; 835.66366; 750.00000;   327
1.56529; 846.65923; 734.01699; 150.14700; 846.65923; 750.00000;   300
1.58105; 857.65481; 690.76357; 157.00263; 857.65481; 750.00000;   354
1.59746; 868.65038; 677.35936; 156.58944; 868.65038; 750.00000;   365
1.61354; 879.64596; 679.07451; 152.90822; 879.64596; 750.00000;   363
1.63130; 890.64153; 626.70701; 162.57170; 890.64153; 750.00000;   424
1.64704; 901.63710; 696.45138; 147.67337; 901.63710; 750.00000;   340
1.66276; 912.63268; 692.15501; 154.75916; 912.63268; 750.00000;   355
1.67813; 923.62825; 710.30843; 151.12425; 923.62825; 750.00000;   335
1.69312; 934.62383; 748.66034; 148.34975; 934.62383; 750.00000;   294
1.70848; 945.61940; 701.20365; 156.26855; 945.61940; 750.00000;   353
1.72457; 956.61498; 689.94004; 155.61744; 956.61498; 750.00000;   361
1.74066; 967.61055; 691.45859; 158.11026; 967.61055; 750.00000;   359
1.75746; 978.60613; 648.05649; 167.35590; 978.60613; 750.00000;   410
1.77319; 989.60170; 705.83993; 157.71522; 989.60170; 750.00000;   340
1.78854; 1000.59727; 703.26667; 158.80242; 1000.59727; 750.00000;   351
1.80430; 1011.59285; 704.61868; 157.93269; 1011.59285; 750.00000;   350
1.81933; 1022.58842; 737.95802; 150.34114; 1022.58842; 750.00000;   313
1.83469; 1033.58400; 700.71211; 156.59045; 1033.58400; 750.00000;   360
1.85078; 1044.57957; 686.53687; 157.82266; 1044.57957; 750.00000;   373
1.86726; 1055.57515; 678.11128; 160.30621; 1055.57515; 750.00000;   382
1.88443; 1066.57072; 640.24540; 170.99666; 1066.57072; 750.00000;   425
1.89981; 1077.56630; 711.77981; 154.70877; 1077.56630; 750.00000;   341
1.91554; 1088.56187; 692.72188; 160.84713; 1088.56187; 750.00000;   373
1.93093; 1099.55744; 712.56396; 155.66210; 1099.55744; 750.00000;   349
1.94561; 1110.55302; 749.06836; 149.18592; 1110.55302; 750.00000;   310
1.96132; 1121.54859; 706.24796; 157.78516; 1121.54859; 750.00000;   364
1.97704; 1132.54417; 694.38424; 160.70148; 1132.54417; 750.00000;   373
1.99279; 1143.53974; 706.29332; 159.22450; 1143.53974; 750.00000;   359
2.00967; 1154.53532; 647.82740; 166.53039; 1154.53532; 750.00000;   428
2.02507; 1165.53089; 715.34542; 151.24050; 1165.53089; 750.00000;   345
2.04043; 1176.52647; 708.34081; 153.55754; 1176.52647; 750.00000;   362
2.05579; 1187.52204; 726.78792; 146.74047; 1187.52204; 750.00000;   341
2.07009; 1198.51762; 765.65521; 144.73692; 1198.51762; 750.00000;   299
2.08545; 1209.51319; 720.07691; 152.37931; 1209.51319; 750.00000;   356
2.10083; 1220.50876; 709.62081; 155.26577; 1220.50876; 750.00000;   363
2.11656; 1231.50434; 700.31045; 157.48615; 1231.50434; 750.00000;   373
2.13305; 1242.49991; 659.99847; 165.34198; 1242.49991; 750.00000;   419
2.14805; 1253.49549; 734.31110; 155.65160; 1253.49549; 750.00000;   330
2.16341; 1264.49106; 716.27741; 158.19615; 1264.49106; 750.00000;   361
2.17843; 1275.48664; 728.56974; 158.51153; 1275.48664; 750.00000;   345
2.19272; 1286.48221; 770.80788; 149.05929; 1286.48221; 750.00000;   298
2.20772; 1297.47779; 738.10663; 145.50974; 1297.47779; 750.00000;   341
2.22345; 1308.47336; 707.56592; 149.29238; 1308.47336; 750.00000;   372
2.23882; 1319.46893; 708.79742; 146.21836; 1319.46893; 750.00000;   368
2.25563; 1330.46451; 657.70872; 154.58944; 1330.46451; 750.00000;   427
2.27023; 1341.46008; 744.65491; 141.02818; 1341.46008; 750.00000;   322
2.28559; 1352.45566; 723.96461; 149.24652; 1352.45566; 750.00000;   358
2.30024; 1363.45123; 736.42586; 148.98455; 1363.45123; 750.00000;   341
2.31487; 1374.44681; 761.62461; 148.05909; 1374.44681; 750.00000;   314
2.33023; 1385.44238; 714.83386; 156.00628; 1385.44238; 750.00000;   371
2.34595; 1396.43796; 697.11370; 156.56406; 1396.43796; 750.00000;   386
2.36173; 1407.43353; 703.80685; 153.94380; 1407.43353; 750.00000;   377
2.37854; 1418.42910; 649.43444; 165.21560; 1418.42910; 750.00000;   441
2.39390; 1429.42468; 713.72027; 151.28452; 1429.42468; 750.00000;   362
2.40962; 1440.42025; 694.07742; 156.66905; 1440.42025; 750.00000;   394
2.42499; 1451.41583; 719.55857; 152.09387; 1451.41583; 750.00000;   363
2.43963; 1462.41140; 752.19417; 146.87923; 1462.41140; 750.00000;   329
2.45535; 1473.40698; 707.42935; 155.56741; 1473.40698; 750.00000;   385
2.47129; 1484.40255; 691.63256; 156.25504; 1484.40255; 750.00000;   398
2.48702; 1495.39813; 691.63256; 154.14861; 1495.39813; 750.00000;   397
2.50420; 1506.39370; 646.11438; 163.99256; 1506.39370; 750.00000;   450
2.51970; 1517.38927; 707.70255; 150.31449; 1517.38927; 750.00000;   376
2.53509; 1528.38485; 703.71676; 155.84104; 1528.38485; 750.00000;   390
2.55046; 1539.38042; 719.51148; 155.06504; 1539.38042; 750.00000;   372
2.56515; 1550.37600; 754.15463; 148.69026; 1550.37600; 750.00000;   334
2.58052; 1561.37157; 706.38407; 158.33076; 1561.37157; 750.00000;   394
2.59624; 1572.36715; 703.53666; 157.29255; 1572.36715; 750.00000;   392
2.61161; 1583.36272; 709.89570; 154.13331; 1583.36272; 750.00000;   385
2.62807; 1594.35830; 669.07475; 162.67401; 1594.35830; 750.00000;   433
2.64297; 1605.35387; 739.69556; 149.78689; 1605.35387; 750.00000;   348
2.65798; 1616.34944; 737.21585; 153.31731; 1616.34944; 750.00000;   361
2.67264; 1627.34502; 747.84564; 154.95236; 1627.34502; 750.00000;   348
2.68694; 1638.34059; 780.38144; 152.36597; 1638.34059; 750.00000;   312
2.70162; 1649.33617; 732.89172; 161.11667; 1649.33617; 750.00000;   371
2.71735; 1660.33174; 711.64161; 154.30847; 1660.33174; 750.00000;   389
2.73272; 1671.32732; 708.38645; 136.22395; 1671.32732; 750.00000;   391
2.74960; 1682.32289; 659.36522; 118.20528; 1682.32289; 750.00000;   447
2.76428; 1693.31847; 735.53913; 76.66971; 1693.31847; 750.00000;   355
2.77927; 1704.31404; 731.52648; 50.20727; 1704.31404; 750.00000;   370
2.79356; 1715.30961; 768.92129; 26.21263; 1715.30961; 750.00000;   327
2.80710; 1726.30519; 811.30189; 10.13781; 1726.30519; 750.00000;   283
2.82102; 1737.30076; 791.39013; -8.55795; 1737.30076; 750.00000;   311
2.83529; 1748.29634; 781.76854; -24.71902; 1748.29634; 750.00000;   318
2.84921; 1759.29191; 783.10480; -46.92881; 1759.29191; 750.00000;   315
2.86458; 1770.28749; 715.06630; -80.43160; 1770.28749; 750.00000;   393
2.87886; 1781.28306; 764.80312; -94.54172; 1781.28306; 750.00000;   327
2.89423; 1792.27864; 730.99152; -117.07325; 1792.27864; 750.00000;   372
2.90851; 1803.27421; 751.78275; -128.11653; 1803.27421; 750.00000;   344
2.92312; 1814.26978; 753.37954; -137.29325; 1814.26978; 750.00000;   345
2.93849; 1825.26536; 722.34755; -150.32002; 1825.26536; 750.00000;   381
2.95385; 1836.26093; 711.68767; -160.14511; 1836.26093; 750.00000;   390
2.96922; 1847.25651; 717.21182; -155.92262; 1847.25651; 750.00000;   383
2.98529; 1858.25208; 678.94872; -180.47781; 1858.25208; 750.00000;   428
2.99849; 1869.24766; 842.37910; -168.75143; 1869.24766; 750.00000;   234
3.01529; 1880.24323; 653.21538; -217.22475; 1880.24323; 750.00000;   472
3.02993; 1891.23881; 756.59358; -197.69223; 1891.23881; 750.00000;   332
3.04457; 1902.23438; 741.04155; -189.34859; 1902.23438; 750.00000;   364
